fertilizer_kg_ha,yield_ton_ha
143.64,5.98
287.68,11.07
233.0,8.97
199.66,7.2
89.0,3.72
89.0,4.42
64.52,2.78
266.54,10.41
200.28,8.1
227.02,8.08
55.15,2.3
292.48,10.95
258.11,9.19
103.08,5.21
95.46,3.57
95.85,4.08
126.06,5.28
181.19,6.96
157.99,6.01
122.81,5.5
202.96,7.06
84.87,3.98
123.04,5.25
141.59,6.0
164.02,6.78
246.29,8.33
99.92,3.73
178.56,7.5
198.1,7.61
61.61,2.97
201.89,8.33
92.63,4.34
66.26,4.08
287.22,10.15
291.41,11.27
252.1,9.94
126.15,5.16
74.42,4.22
221.06,8.45
160.04,6.99
80.51,3.43
173.79,7.06
58.6,3.79
277.33,8.94
114.69,4.35
215.63,6.95
127.93,5.2
180.02,7.26
186.68,7.85
96.21,4.42
292.4,11.09
243.78,8.12
284.87,9.19
273.71,9.68
199.47,7.68
280.47,9.9
72.12,2.63
99.0,4.43
61.31,2.69
131.33,5.77
147.17,6.1
117.84,4.57
257.18,8.96
139.19,5.15
120.23,5.08
185.67,7.55
85.23,3.56
250.55,9.27
68.64,3.29
296.72,10.01
243.06,8.74
99.68,3.97
51.38,2.76
253.87,8.52
226.71,9.28
232.25,8.49
242.82,8.43
68.51,3.66
139.62,5.63
78.97,3.76
265.78,9.78
205.82,8.05
132.72,5.22
65.89,3.19
127.75,5.19
131.3,4.29
232.4,7.71
209.39,8.47
271.8,10.48
168.05,6.42
79.9,4.19
228.31,8.5
240.2,10.25
190.32,7.77
242.74,8.72
173.45,6.23
180.68,6.12
156.89,6.31
56.35,2.81
76.97,3.1
57.86,2.91
209.1,7.23
128.59,6.2
177.14,7.26
276.89,9.8
112.32,5.61
152.6,6.12
238.89,8.24
107.2,5.48
69.24,3.85
122.44,4.65
90.31,4.11
282.42,9.53
252.03,8.37
208.35,8.21
267.87,10.49
250.92,8.33
96.64,4.68
273.14,9.37
184.84,6.8
251.86,8.76
274.02,9.29
129.5,5.41
77.51,3.41
106.98,4.84
156.78,6.18
254.5,9.02
265.18,9.0
51.74,2.76
177.69,7.21
154.35,6.38
105.53,4.18
79.97,3.95
134.4,5.91
285.73,9.24
130.8,5.7
179.7,6.56
225.75,8.56
140.91,5.35
292.95,9.39
290.61,9.4
112.95,4.91
174.31,6.86
125.22,4.8
121.21,5.46
59.22,2.45
202.39,7.54
175.67,6.16
62.87,3.06
119.66,5.11
277.07,9.38
109.89,4.6
86.22,4.59
172.36,6.38
296.41,10.81
110.51,4.25
218.03,8.31
240.4,9.43
109.41,3.55
232.05,8.06
141.95,6.05
208.08,7.64
208.38,7.94
183.94,6.72
72.57,3.72
258.83,9.19
130.2,5.99
96.63,4.53
60.19,3.47
197.72,7.23
219.39,7.84
54.15,2.91
178.02,7.04
106.62,4.49
211.29,7.98
93.59,5.35
222.73,8.62
146.68,5.74
284.18,10.63
84.38,3.83
135.27,4.54
78.37,3.35
281.17,9.0
269.33,9.4
114.49,4.94
215.0,8.79
254.31,9.29
188.8,7.05
182.41,7.39
110.46,3.71
73.28,3.82
274.3,10.11
275.1,9.01
208.28,8.32
134.76,5.71
137.3,5.41
231.49,8.76
274.28,10.86
271.77,9.74
244.97,8.97
210.51,7.59
71.03,3.21
90.41,4.63
274.64,9.31
201.61,7.58
52.3,2.83
75.37,4.0
215.88,8.14
51.27,3.56
90.2,3.95
187.18,6.98
222.97,7.7
212.99,7.67
106.07,4.87
228.04,8.72
109.31,4.32
131.35,5.88
236.62,9.28
212.41,8.08
262.31,10.31
214.4,7.55
192.08,6.64
73.42,2.81
141.93,6.51
116.3,5.32
111.0,4.8
293.25,10.44
148.27,5.39
273.01,10.91
207.78,7.8
248.7,9.02
175.66,7.13
194.23,7.57
173.13,6.81
98.81,4.07
230.61,8.65
120.19,6.05
56.08,3.86
211.37,8.64
94.28,4.07
285.11,9.56
288.48,10.09
278.72,9.89
142.54,6.32
53.86,2.27
282.08,10.73
157.05,6.13
291.66,10.04
290.9,9.72
263.25,8.57
123.61,5.62
146.27,5.92
262.78,8.74
129.23,4.73
92.37,4.1
189.2,8.01
284.04,9.89
224.01,7.47
192.52,7.15
74.29,3.59
203.75,6.26
297.51,10.4
85.02,3.94
179.58,7.24
269.34,10.5
235.19,9.12
224.25,8.09
225.62,7.72
139.87,6.98
123.4,5.23
252.34,9.08
252.53,9.06
266.77,9.6
278.31,9.78
177.84,6.55
175.38,6.49
249.57,8.97
212.49,7.6
225.49,7.91
248.95,9.02
272.5,9.55
134.5,6.29
143.9,4.49
73.5,4.25
194.57,7.96
58.99,2.23
166.4,6.32
185.66,6.88
121.64,4.45
197.71,7.04
57.63,2.67
59.34,4.16
255.65,9.64
140.05,6.34
81.77,4.31
180.56,6.35
242.5,8.51
103.96,4.86
205.72,7.06
71.34,4.0
62.92,3.27
182.84,6.8
185.16,7.41
209.36,8.0
231.52,8.27
293.96,10.9
179.08,6.33
130.74,5.73
248.8,9.26
117.71,4.88
159.74,6.46
69.61,2.96
56.34,3.65
290.66,10.13
259.0,9.01
223.99,8.74
152.24,5.71
93.32,3.6
89.11,3.39
112.56,5.18
187.31,6.48
228.65,9.24
215.05,6.91
119.98,5.95
288.72,10.27
234.47,8.49
188.59,6.89
202.93,7.79
154.9,6.13
111.93,5.41
138.99,5.73
239.46,8.76
53.6,2.93
79.02,3.84
61.5,3.5
60.18,2.45
263.87,8.74
225.91,8.65
168.54,6.64
74.46,3.64
172.9,6.7
168.37,6.72
93.3,4.03
158.46,5.86
149.63,6.09
203.96,7.13
208.77,7.97
61.33,2.49
143.65,6.32
206.46,7.93
175.78,6.9
264.12,9.92
214.67,8.77
90.73,4.73
67.64,2.61
210.6,7.18
56.63,2.89
196.44,7.41
285.06,10.31
193.87,6.95
147.04,6.0
210.82,7.45
164.56,6.13
186.4,6.39
285.37,9.6
146.53,5.22
290.3,9.72
276.34,10.32
98.95,3.99
67.34,4.84
75.19,4.0
54.56,3.23
73.61,3.28
220.75,8.47
67.8,3.25
129.74,5.45
261.22,10.62
55.82,3.13
253.62,9.68
120.46,4.76
79.54,3.87
224.18,9.11
207.24,7.4
269.37,10.49
233.77,8.87
250.87,8.74
120.51,5.43
94.36,4.82
237.65,8.94
251.71,8.27
297.63,10.07
153.15,5.97
143.0,5.75
244.1,9.13
135.2,5.64
282.69,9.31
264.6,9.63
157.25,6.52
237.72,8.91
238.64,9.2
75.78,4.19
275.64,10.0
176.31,6.75
256.61,8.37
130.01,5.62
273.88,9.82
147.3,6.05
52.71,2.44
276.35,9.25
72.82,4.21
129.83,5.38
287.52,10.47
287.65,10.14
193.36,7.32
207.96,8.21
162.11,6.11
123.3,5.25
132.17,5.23
218.13,7.83
238.09,8.49
247.89,9.05
247.4,8.68
72.8,4.31
173.61,6.26
64.39,3.34
187.38,6.9
160.38,7.03
271.93,9.76
137.73,6.15
79.27,3.14
85.75,4.21
240.38,9.16
204.55,7.68
75.28,4.29
71.03,3.37
225.24,8.96
68.19,4.7
255.47,8.98
226.56,8.07
70.34,4.34
71.21,4.43
296.66,10.14
143.57,5.6
142.66,5.64
253.2,8.42
286.81,9.65
296.5,9.89
238.34,8.27
144.06,5.8
70.88,3.74
244.29,9.6
189.6,6.69
156.06,6.67
276.59,9.69
77.8,3.81
173.16,7.03
52.84,2.52
167.17,6.71
64.08,3.51
79.7,4.14
79.38,4.03
212.3,9.1
236.51,8.28
195.84,7.11
290.54,9.9
143.72,5.53
121.43,4.82
267.15,10.11
105.9,5.39
290.81,9.94
53.04,2.67
292.47,10.51
60.79,3.05
272.79,10.0
181.93,7.06
298.24,9.69
68.45,4.33
188.46,8.05
292.33,9.96
180.77,6.73
207.35,7.86
223.94,8.39
163.64,6.74
206.89,8.71
196.08,7.29
275.29,9.36
61.36,2.65
120.24,4.74
287.6,10.11
272.57,10.57
163.91,6.16
205.03,7.76
119.35,5.07
97.03,5.01
165.92,7.74
138.34,5.38
195.91,7.13
69.43,4.11
293.6,10.65
296.55,11.32
