Track_ID,Danceability,Energy,Distance_C1,Distance_C2,Distance_C3,Assigned_Cluster
Track_001,0.3397,0.1368,0.1259,0.476,0.7691,Cluster 1
Track_002,0.2889,0.2163,0.033,0.4625,0.7238,Cluster 1
Track_003,0.3518,0.2226,0.0901,0.4086,0.687,Cluster 1
Track_004,0.4218,0.1858,0.1669,0.3847,0.6915,Cluster 1
Track_005,0.2813,0.2371,0.0185,0.4573,0.7104,Cluster 1
Track_006,0.2813,0.2823,0.0494,0.4348,0.6731,Cluster 1
Track_007,0.4263,0.4009,0.2319,0.2546,0.4948,Cluster 1
Track_008,0.3614,0.264,0.1024,0.3758,0.646,Cluster 1
Track_009,0.2624,0.2706,0.0341,0.457,0.6937,Cluster 1
Track_010,0.3434,0.244,0.0809,0.4021,0.6722,Cluster 1
Track_011,0.2629,0.0965,0.14,0.5588,0.8403,Cluster 1
Track_012,0.2627,0.2479,0.0114,0.4676,0.7119,Cluster 1
Track_013,0.3194,0.2548,0.0595,0.4157,0.675,Cluster 1
Track_014,0.1469,0.4471,0.2404,0.5219,0.6501,Cluster 1
Track_015,0.162,0.2346,0.1008,0.5628,0.7843,Cluster 1
Track_016,0.255,0.2741,0.0384,0.462,0.6953,Cluster 1
Track_017,0.219,0.2472,0.0451,0.5063,0.7385,Cluster 1
Track_018,0.3251,0.1565,0.1014,0.4724,0.758,Cluster 1
Track_019,0.2274,0.3414,0.1107,0.4621,0.6609,Cluster 1
Track_020,0.187,0.3102,0.1057,0.5104,0.7112,Cluster 1
Track_021,0.4173,0.3133,0.1725,0.3018,0.5765,Cluster 1
Track_022,0.2819,0.1772,0.0623,0.4915,0.7609,Cluster 1
Track_023,0.3054,0.3622,0.1327,0.3815,0.5947,Cluster 1
Track_024,0.186,0.1379,0.125,0.5918,0.846,Cluster 1
Track_025,0.2564,0.2969,0.0607,0.4509,0.6763,Cluster 1
Track_026,0.3089,0.4252,0.1942,0.3632,0.5441,Cluster 1
Track_027,0.2079,0.1708,0.0856,0.555,0.8065,Cluster 1
Track_028,0.3301,0.2047,0.0744,0.4367,0.7131,Cluster 1
Track_029,0.2519,0.258,0.0241,0.4722,0.71,Cluster 1
Track_030,0.2767,0.2097,0.0302,0.4763,0.7359,Cluster 1
Track_031,0.7019,0.3259,0.4481,0.1595,0.5055,Cluster 2
Track_032,0.8982,0.4555,0.6721,0.232,0.438,Cluster 2
Track_033,0.7489,0.365,0.5028,0.1422,0.4718,Cluster 2
Track_034,0.6654,0.4879,0.4746,0.0066,0.3427,Cluster 2
Track_035,0.8158,0.3764,0.5704,0.1817,0.4764,Cluster 2
Track_036,0.6523,0.574,0.5154,0.0936,0.2572,Cluster 2
Track_037,0.7667,0.3873,0.526,0.1368,0.4532,Cluster 2
Track_038,0.5932,0.4242,0.38,0.0941,0.4139,Cluster 2
Track_039,0.6437,0.5151,0.4719,0.0411,0.3167,Cluster 2
Track_040,0.7657,0.3515,0.5159,0.163,0.4881,Cluster 2
Track_041,0.8091,0.4682,0.5934,0.142,0.3874,Cluster 2
Track_042,0.7637,0.5546,0.5934,0.1205,0.2908,Cluster 2
Track_043,0.7407,0.3214,0.4854,0.1761,0.5137,Cluster 2
Track_044,0.7259,0.4648,0.5163,0.0606,0.3697,Cluster 2
Track_045,0.6317,0.4708,0.437,0.0376,0.3619,Cluster 2
Track_046,0.6924,0.5125,0.5106,0.0395,0.3187,Cluster 2
Track_047,0.7131,0.351,0.4646,0.1384,0.4813,Cluster 2
Track_048,0.8346,0.3444,0.5819,0.2161,0.5126,Cluster 2
Track_049,0.7775,0.4918,0.5745,0.1103,0.3548,Cluster 2
Track_050,0.609,0.4738,0.4197,0.0592,0.3622,Cluster 2
Track_051,0.7759,0.47,0.5637,0.1088,0.3752,Cluster 2
Track_052,0.7192,0.4777,0.5162,0.0517,0.356,Cluster 2
Track_053,0.6958,0.3956,0.4613,0.0906,0.4356,Cluster 2
Track_054,0.7989,0.4686,0.5842,0.1319,0.3835,Cluster 2
Track_055,0.8325,0.4734,0.617,0.165,0.3916,Cluster 2
Track_056,0.8245,0.3929,0.5831,0.1802,0.4634,Cluster 2
Track_057,0.6829,0.5993,0.5551,0.1186,0.2315,Cluster 2
Track_058,0.7253,0.4879,0.5264,0.0579,0.3467,Cluster 2
Track_059,0.7765,0.3547,0.5271,0.1672,0.4872,Cluster 2
Track_060,0.828,0.5025,0.6247,0.1616,0.3633,Cluster 2
Track_061,0.7117,0.372,0.4689,0.1182,0.4602,Cluster 2
Track_062,0.7351,0.513,0.5473,0.0743,0.3237,Cluster 2
Track_063,0.6615,0.5427,0.5027,0.0613,0.288,Cluster 2
Track_064,0.6543,0.3843,0.4185,0.0983,0.4465,Cluster 2
Track_065,0.815,0.5271,0.624,0.1541,0.3355,Cluster 2
Track_066,0.7585,0.8489,0.7879,0.3783,0.0885,Cluster 3
Track_067,0.6442,0.8775,0.7459,0.3965,0.0546,Cluster 3
Track_068,0.7303,0.95,0.853,0.4725,0.133,Cluster 3
Track_069,0.6789,0.8028,0.7027,0.3213,0.0286,Cluster 3
Track_070,0.5984,0.7672,0.6279,0.2938,0.097,Cluster 3
Track_071,0.6789,0.7577,0.6669,0.2762,0.0731,Cluster 3
Track_072,0.773,0.7629,0.7331,0.3003,0.1216,Cluster 3
Track_073,0.6471,0.8146,0.6942,0.3335,0.0295,Cluster 3
Track_074,0.7752,0.8439,0.7947,0.3778,0.1042,Cluster 3
Track_075,0.4404,0.8394,0.6285,0.4238,0.2317,Cluster 3
Track_076,0.7158,0.8779,0.7852,0.3991,0.0646,Cluster 3
Track_077,0.657,0.8209,0.7049,0.3394,0.0177,Cluster 3
Track_078,0.6261,0.9217,0.7756,0.442,0.1021,Cluster 3
Track_079,0.6573,0.8015,0.6891,0.32,0.0325,Cluster 3
Track_080,0.491,0.95,0.7491,0.5005,0.2168,Cluster 3
