Track_ID,Danceability,Energy
Track_001,0.3397,0.1368
Track_002,0.2889,0.2163
Track_003,0.3518,0.2226
Track_004,0.4218,0.1858
Track_005,0.2813,0.2371
Track_006,0.2813,0.2823
Track_007,0.4263,0.4009
Track_008,0.3614,0.264
Track_009,0.2624,0.2706
Track_010,0.3434,0.244
Track_011,0.2629,0.0965
Track_012,0.2627,0.2479
Track_013,0.3194,0.2548
Track_014,0.1469,0.4471
Track_015,0.162,0.2346
Track_016,0.255,0.2741
Track_017,0.219,0.2472
Track_018,0.3251,0.1565
Track_019,0.2274,0.3414
Track_020,0.187,0.3102
Track_021,0.4173,0.3133
Track_022,0.2819,0.1772
Track_023,0.3054,0.3622
Track_024,0.186,0.1379
Track_025,0.2564,0.2969
Track_026,0.3089,0.4252
Track_027,0.2079,0.1708
Track_028,0.3301,0.2047
Track_029,0.2519,0.258
Track_030,0.2767,0.2097
Track_031,0.7019,0.3259
Track_032,0.8982,0.4555
Track_033,0.7489,0.365
Track_034,0.6654,0.4879
Track_035,0.8158,0.3764
Track_036,0.6523,0.574
Track_037,0.7667,0.3873
Track_038,0.5932,0.4242
Track_039,0.6437,0.5151
Track_040,0.7657,0.3515
Track_041,0.8091,0.4682
Track_042,0.7637,0.5546
Track_043,0.7407,0.3214
Track_044,0.7259,0.4648
Track_045,0.6317,0.4708
Track_046,0.6924,0.5125
Track_047,0.7131,0.351
Track_048,0.8346,0.3444
Track_049,0.7775,0.4918
Track_050,0.609,0.4738
Track_051,0.7759,0.47
Track_052,0.7192,0.4777
Track_053,0.6958,0.3956
Track_054,0.7989,0.4686
Track_055,0.8325,0.4734
Track_056,0.8245,0.3929
Track_057,0.6829,0.5993
Track_058,0.7253,0.4879
Track_059,0.7765,0.3547
Track_060,0.828,0.5025
Track_061,0.7117,0.372
Track_062,0.7351,0.513
Track_063,0.6615,0.5427
Track_064,0.6543,0.3843
Track_065,0.815,0.5271
Track_066,0.7585,0.8489
Track_067,0.6442,0.8775
Track_068,0.7303,0.95
Track_069,0.6789,0.8028
Track_070,0.5984,0.7672
Track_071,0.6789,0.7577
Track_072,0.773,0.7629
Track_073,0.6471,0.8146
Track_074,0.7752,0.8439
Track_075,0.4404,0.8394
Track_076,0.7158,0.8779
Track_077,0.657,0.8209
Track_078,0.6261,0.9217
Track_079,0.6573,0.8015
Track_080,0.491,0.95
Track_081,0.6324,0.8638
Track_082,0.6786,0.76
Track_083,0.7682,0.745
Track_084,0.6085,0.8538
Track_085,0.5853,0.8044
Track_086,0.6099,0.87
Track_087,0.7232,0.8531
Track_088,0.6763,0.8149
Track_089,0.6076,0.7607
Track_090,0.6911,0.714
Track_091,0.6578,0.7887
Track_092,0.7275,0.8799
Track_093,0.5938,0.835
Track_094,0.6238,0.7328
Track_095,0.6186,0.8321
Track_096,0.5329,0.847
Track_097,0.6737,0.7581
Track_098,0.6709,0.8308
Track_099,0.6504,0.8241
Track_100,0.6312,0.74
